state,district,pincode,velocity_q3,volume_sum,volume_median,elderly_pressure_median,child_ratio_mean,bio_sum,bio_compliance_rate
Rajasthan,Jalor,343032,10.0,1181.0,6.0,4.166666666666667,0.2789643620368862,4715.0,3.989001692047377
Bihar,Gopalganj,841428,10.0,1834.0,5.0,10.75,0.23108880603841986,10167.0,5.540599455040872
Bihar,Saran,841417,10.0,720.0,6.0,6.65,0.170759963019362,6009.0,8.334257975034674
Madhya Pradesh,Jhabua,457993,10.0,806.0,6.5,4.708333333333334,0.2764392147217031,8515.0,10.551425030978935
Bihar,West Champaran,845449,10.0,3126.0,13.0,7.761904761904762,0.23258091597714017,9919.0,3.1720498880716343
Uttar Pradesh,Allahabad,212402,10.0,731.0,6.0,4.894736842105263,0.2863219608354686,14420.0,19.69945355191257
Bihar,Gaya,823003,10.0,2322.0,10.0,6.196428571428571,0.1235907240581836,11554.0,4.973740852346104
Bihar,Jamui,811315,9.75,589.0,4.0,7.291666666666666,0.20140712615557818,5298.0,8.979661016949153
Uttar Pradesh,Maharajganj,273303,9.75,3028.0,11.0,4.732456140350877,0.2077682061290295,15237.0,5.030373060415979
Bihar,Patna,803202,9.5,682.0,4.0,6.0,0.1841804808988974,9206.0,13.478770131771595
Bihar,Purnia,854202,9.25,902.0,7.0,8.681818181818182,0.29988695387793385,16226.0,17.968992248062015
Bihar,East Champaran,845433,9.25,2181.0,11.0,7.966666666666667,0.2120269027313216,8730.0,4.000916590284143
Bihar,Siwan,841227,9.0,634.0,5.0,6.0,0.21615894646767864,6243.0,9.831496062992127
Uttar Pradesh,Sant Ravidas Nagar,221401,9.0,632.0,4.0,5.386363636363637,0.25882122166288746,8698.0,13.740916271721959
Bihar,Aurangabad,824125,9.0,975.0,6.0,5.666666666666667,0.1846441067590267,8625.0,8.837090163934427
Bihar,Vaishali,844122,9.0,1396.0,12.0,6.527777777777778,0.28588609344887944,13385.0,9.581245526127416
Bihar,Sheikhpura,811101,9.0,693.0,4.0,5.805555555555555,0.18975613241868203,6626.0,9.547550432276656
Jammu and Kashmir,Reasi,182315,9.0,638.0,3.0,2.5277777777777777,0.28238563514798176,8034.0,12.572769953051644
Bihar,Munger,811213,9.0,2412.0,5.0,7.875,0.2607568864962847,9556.0,3.9602154993783674
Rajasthan,Udaipur,313704,9.0,585.0,4.0,3.428571428571429,0.29149811645401186,5227.0,8.919795221843003
Bihar,East Champaran,845437,8.75,1082.0,7.0,7.842857142857143,0.15386035085891536,10973.0,10.132040627885504
Bihar,West Champaran,845454,8.75,2355.0,14.0,7.772222222222222,0.24765592100271716,11885.0,5.044567062818336
Bihar,Gaya,824205,8.5,532.0,3.0,5.1,0.193187108702797,5134.0,9.632270168855534
Uttar Pradesh,Gorakhpur,273165,8.5,669.0,4.0,3.1818181818181817,0.25531979777389857,7262.0,10.838805970149254
Bihar,East Champaran,845416,8.0,557.0,4.0,7.916666666666666,0.1354035364577694,4871.0,8.729390681003585
Uttar Pradesh,Mau,276403,8.0,662.0,4.5,5.256578947368421,0.21820546190206763,8348.0,12.591251885369532
Meghalaya,East Garo Hills,794110,8.0,2408.0,2.0,2.0,0.07738044990706665,1357.0,0.5633042756330428
Uttar Pradesh,Allahabad,211003,8.0,595.0,5.0,8.983333333333334,0.2890020786368035,12594.0,21.130872483221477
Bihar,East Champaran,845302,8.0,2346.0,8.0,6.690476190476191,0.2091136797027747,8906.0,3.7946314443971025
Uttar Pradesh,Bahraich,271875,8.0,1300.0,3.0,5.909090909090909,0.2330382513762422,9234.0,7.097617217524981
Karnataka,Bengaluru,560043,8.0,1318.0,5.0,4.714285714285714,0.29818853337826884,6651.0,5.042456406368461
Manipur,Bishnupur,795133,8.0,722.0,4.0,3.3125,0.27023927137380555,14036.0,19.413554633471644
Gujarat,Ahmedabad,382440,8.0,944.0,4.0,5.196428571428571,0.2738482732734094,10875.0,11.507936507936508
Gujarat,Banaskantha,385320,8.0,896.0,4.0,6.0,0.2795731397002744,7455.0,8.311036789297658
Bihar,Nalanda,803101,8.0,3736.0,15.0,5.857142857142857,0.17423492470185922,15320.0,4.099545089644099
Bihar,Nawada,805109,8.0,1221.0,6.0,6.291666666666666,0.12143610761355475,4249.0,3.4770867430441896
Bihar,West Champaran,845106,8.0,1648.0,9.0,8.75,0.23121378989066577,12468.0,7.560946027895694
Bihar,Patna,803213,8.0,569.0,4.0,6.818181818181818,0.19260438208803118,7878.0,13.821052631578947
Bihar,Aurangabad,824301,8.0,895.0,7.0,5.365384615384615,0.24788704443957424,6400.0,7.142857142857143
Bihar,Bhagalpur,813213,8.0,1719.0,5.0,6.0,0.24980133888147088,8021.0,4.663372093023256
Uttar Pradesh,Sant Ravidas Nagar,221304,8.0,624.0,5.0,4.5,0.24858735152218076,9210.0,14.736
Bihar,Arwal,804421,8.0,601.0,5.0,6.041666666666666,0.11336835632615089,4801.0,7.975083056478406
Uttar Pradesh,Mau,275101,7.75,1423.0,12.5,6.585164835164836,0.2739325281934277,16442.0,11.54634831460674
Bihar,East Champaran,845418,7.75,902.0,6.0,7.2146464646464645,0.27325461787377975,10800.0,11.960132890365449
Bihar,Saharsa,852106,7.5,2303.0,11.0,6.727272727272728,0.2905985473953824,12469.0,5.411892361111111
Nagaland,Dimapur,797112,7.5,2476.0,4.0,5.111111111111111,0.23172821892881715,12763.0,5.1526039563988695
West Bengal,Jalpaiguri,735210,7.5,925.0,5.0,9.75,0.29902029759467724,4509.0,4.869330453563715
Uttar Pradesh,Shrawasti,271845,7.25,813.0,3.5,6.233333333333333,0.24622631379937462,9099.0,11.178132678132679
Bihar,Saharsa,852107,7.25,522.0,4.0,6.875,0.23600375957032302,5915.0,11.309751434034418
Gujarat,Banaskantha,385310,7.25,1730.0,8.5,4.9375,0.2913997934971751,12368.0,7.145002888503755
Bihar,West Champaran,845453,7.0,1800.0,11.5,7.241071428571429,0.22915085624715792,8581.0,4.764575235980011
Bihar,Muzaffarpur,843128,7.0,1600.0,6.0,7.142857142857142,0.2836951446860809,10052.0,6.278575890068707
Bihar,Nalanda,803116,7.0,510.0,3.0,6.857142857142857,0.14502470318629557,5735.0,11.223091976516635
Uttar Pradesh,Shrawasti,271831,7.0,1932.0,7.0,8.692307692307692,0.2636693963574735,13331.0,6.896533885152612
Gujarat,Ahmedabad,382405,7.0,474.0,3.0,5.4,0.2925583369443996,8959.0,18.861052631578946
Jharkhand,Dumka,814102,7.0,427.0,2.0,4.45,0.25923733211233213,4509.0,10.535046728971963
Bihar,Munger,811201,7.0,475.0,3.0,8.0,0.23184310243133774,6392.0,13.428571428571429
Bihar,Saran,841301,7.0,2704.0,13.0,7.0,0.2130787177798258,10661.0,3.9412199630314233
Bihar,Saharsa,852202,7.0,513.0,3.0,4.333333333333334,0.29751962366838525,6319.0,12.293774319066149
Bihar,Saran,841219,7.0,849.0,7.0,5.166666666666667,0.16641194080222493,7573.0,8.909411764705883
Bihar,Bhagalpur,813108,7.0,535.0,3.0,6.166666666666666,0.20768790852303204,5340.0,9.962686567164178
Uttar Pradesh,Sonbhadra,231210,7.0,663.0,5.0,5.5,0.2629105016824937,12970.0,19.533132530120483
Nagaland,Kiphire,798611,7.0,879.0,3.0,2.333333333333333,0.12749235946035253,4304.0,4.890909090909091
Punjab,Kapurthala,144601,7.0,1917.0,6.0,6.0,0.27449332308331087,11013.0,5.741918665276329
Uttar Pradesh,Allahabad,211008,7.0,530.0,4.0,5.5625,0.2643027755301511,8617.0,16.227871939736346
Uttar Pradesh,Balrampur,271208,7.0,1991.0,7.5,8.875,0.21459928235634684,9499.0,4.768574297188755
Uttar Pradesh,Kannauj,209721,7.0,991.0,6.0,4.638888888888889,0.2464099018188903,9511.0,9.587701612903226
Uttar Pradesh,Budaun,202523,7.0,616.0,5.0,4.0,0.27064945436157556,6040.0,9.789303079416532
Uttar Pradesh,Basti,272194,7.0,505.0,3.0,4.5,0.25675338441487106,6635.0,13.112648221343873
Uttar Pradesh,Kanpur Nagar,209206,7.0,1519.0,6.0,4.633540372670808,0.2496943792311892,9975.0,6.5625
Bihar,East Champaran,845301,7.0,1775.0,6.5,8.458333333333334,0.18249795774789795,8491.0,4.780968468468468
Bihar,East Champaran,845417,7.0,595.0,3.0,7.6,0.15307552362516857,4083.0,6.850671140939597
Uttar Pradesh,Mainpuri,205262,7.0,1695.0,6.0,4.9,0.27717049105336006,6128.0,3.6132075471698113
Bihar,Gaya,823001,7.0,3219.0,10.0,6.280303030303031,0.2009302316032769,9713.0,3.0164596273291924
Uttar Pradesh,Maharajganj,273157,7.0,1359.0,6.0,4.0,0.20513365609674236,5723.0,4.208088235294118
Bihar,Gaya,804403,7.0,470.0,4.0,4.763888888888889,0.0922596015096015,4031.0,8.558386411889597
Uttar Pradesh,Unnao,209821,7.0,1388.0,7.0,6.166666666666667,0.29700298115894275,12425.0,8.94528437724982
Uttar Pradesh,Bahraich,271870,7.0,924.0,4.0,4.666666666666666,0.20603063319900056,5778.0,6.246486486486487
Bihar,Kaimur (Bhabua),821101,7.0,765.0,5.0,7.0,0.26134561114756116,9683.0,12.640992167101828
Madhya Pradesh,East Nimar,450661,7.0,870.0,3.0,1.6666666666666667,0.2963929597173804,5180.0,5.947187141216992
Meghalaya,East Khasi Hills,793121,7.0,5498.0,10.0,1.25,0.1350390551037979,1502.0,0.27314057101291145
Uttar Pradesh,Azamgarh,276001,7.0,2253.0,9.5,3.875,0.2497106052571624,10549.0,4.680124223602484
Uttar Pradesh,Azamgarh,276404,7.0,1489.0,7.0,6.285714285714286,0.2830336004259364,6886.0,4.621476510067114
Bihar,Kaimur (Bhabua),821108,7.0,1634.0,3.0,7.142857142857143,0.2341823753572873,8763.0,5.359633027522936
Uttar Pradesh,Bahraich,271902,7.0,3128.0,13.0,7.300000000000001,0.2070799959722522,13564.0,4.334931287951422
Uttar Pradesh,Baghpat,250101,7.0,1373.0,6.0,5.555555555555555,0.23746280781386142,6921.0,5.037117903930131
Bihar,West Champaran,845307,6.75,2208.0,7.0,8.354166666666668,0.18622562687652638,8583.0,3.8854685377999094
Uttar Pradesh,Allahabad,212301,6.75,455.0,3.0,4.645714285714286,0.2828590369612041,12315.0,27.00657894736842
Bihar,Gopalganj,841436,6.75,535.0,3.0,7.226190476190476,0.17482705028939777,5989.0,11.173507462686567
Uttar Pradesh,Maharajganj,273164,6.75,4143.0,11.0,5.326470588235294,0.2375334247959913,10274.0,2.4792471042471043
Bihar,Gaya,824232,6.5,2828.0,8.0,6.588235294117647,0.16233722428924532,19808.0,7.001767408978438
Bihar,Siwan,841226,6.5,2043.0,12.0,8.2,0.24717022671055358,12983.0,6.351761252446184
Uttar Pradesh,Kasganj,207246,6.5,426.0,3.0,4.888888888888889,0.29187359151708525,5023.0,11.763466042154567
Bihar,Vaishali,844508,6.25,1144.0,7.0,6.633333333333333,0.2717014494426937,7470.0,6.524017467248909
West Bengal,South 24 Parganas,700141,6.25,507.0,3.0,7.5,0.28756253457209524,3501.0,6.891732283464567
Rajasthan,Udaipur,307025,6.25,1542.0,10.5,5.0,0.2400894236007897,6817.0,4.4180168502916395
Bihar,Sheikhpura,811304,6.0,386.0,3.0,5.0,0.20708100738654706,6465.0,16.705426356589147
Bihar,Munger,811214,6.0,395.0,2.0,7.375,0.18230130155872729,3504.0,8.848484848484848
Uttar Pradesh,Sant Ravidas Nagar,221404,6.0,537.0,4.0,3.066666666666667,0.25731563403863683,10384.0,19.30111524163569
Uttar Pradesh,Sant Ravidas Nagar,221303,6.0,460.0,3.0,3.333333333333333,0.22801806726148097,7116.0,15.436008676789587
Bihar,Banka,813105,6.0,683.0,5.0,6.333333333333333,0.2937851835977833,6666.0,9.74561403508772
Uttar Pradesh,Gorakhpur,273001,6.0,2329.0,8.0,6.571428571428571,0.24665527137985044,7361.0,3.1592274678111587
Uttar Pradesh,Bulandshahr,203203,6.0,421.0,2.0,3.3095238095238093,0.2951614421526186,4796.0,11.364928909952607
Uttar Pradesh,Ghazipur,233001,6.0,927.0,9.0,4.894736842105264,0.2791886934292349,11941.0,12.867456896551724
Uttar Pradesh,Maharajganj,273302,6.0,720.0,6.0,4.431818181818182,0.27937088433272644,6324.0,8.771151178918169
Bihar,Buxar,802134,6.0,475.0,3.0,4.8,0.12601258600964482,2749.0,5.775210084033613
Uttar Pradesh,Maharajganj,273155,6.0,518.0,3.0,4.0625,0.16672994039524588,6768.0,13.040462427745664
Bihar,Gaya,805128,6.0,477.0,4.0,4.6,0.10098655120499779,4038.0,8.447698744769875
Uttar Pradesh,Gorakhpur,273158,6.0,690.0,5.0,3.25,0.21641686698126938,5355.0,7.749638205499276
Uttar Pradesh,Jaunpur,222001,6.0,2306.0,11.0,4.6,0.24259507738765382,17948.0,7.779800606848721
Uttar Pradesh,Sant Ravidas Nagar,221301,6.0,378.0,3.0,5.464285714285714,0.2353171221139971,6044.0,15.947229551451187
Uttar Pradesh,Sant Kabir Nagar,272175,6.0,939.0,8.0,5.341911764705882,0.29880336883737163,14132.0,15.034042553191489
West Bengal,Kolkata,700018,6.0,434.0,3.0,7.333333333333333,0.20954365245662795,2625.0,6.0344827586206895
Uttar Pradesh,Gonda,271305,6.0,494.0,4.0,4.2,0.25535359237961697,6728.0,13.591919191919192
Uttar Pradesh,Kushinagar,274402,6.0,1165.0,6.0,5.538461538461538,0.2814531069382306,10723.0,9.19639794168096
Uttar Pradesh,Amethi,227813,6.0,434.0,3.0,4.625,0.2872565415320833,4716.0,10.841379310344827
Uttar Pradesh,Allahabad,211019,6.0,521.0,4.5,4.9,0.24336460724816067,6494.0,12.440613026819923
Jharkhand,Dumka,814145,6.0,451.0,2.0,6.208333333333334,0.23013763360822184,3879.0,8.581858407079647
Manipur,Churachandpur,795128,6.0,4040.0,10.0,3.294117647058824,0.26517944362724527,11053.0,2.735214055926751
Karnataka,Bengaluru,560066,6.0,862.0,3.0,4.0,0.2511833901909145,2945.0,3.4125144843568944
Jammu and Kashmir,Ramban,182145,6.0,449.0,3.0,1.5,0.2867999102893744,7241.0,16.09111111111111
Uttar Pradesh,Bahraich,271825,6.0,1695.0,8.5,6.309523809523809,0.2099378350337984,8813.0,5.196344339622642
Bihar,Gaya,824235,6.0,776.0,3.0,3.75,0.08846126209259579,3935.0,5.064350064350064
Bihar,Gopalganj,841427,6.0,1012.0,3.0,8.166666666666666,0.20126497085503453,5407.0,5.33761105626851
Bihar,Jamui,811307,6.0,2109.0,10.0,6.275,0.2578135757446871,11481.0,5.441232227488151
Bihar,Sitamarhi,843325,6.0,434.0,2.0,5.833333333333333,0.2554303572772138,4516.0,10.381609195402298
Uttar Pradesh,Bahraich,271872,6.0,892.0,3.0,6.25,0.27031557452997323,5821.0,6.518477043673013
Uttar Pradesh,Balrampur,271604,5.75,3711.0,13.0,7.3449197860962565,0.21936581159368124,21053.0,5.671605603448276
Bihar,Rohtas,821113,5.75,840.0,5.0,7.613636363636363,0.20647825319144844,10747.0,12.77883472057075
Bihar,Khagaria,852161,5.75,979.0,6.0,4.633333333333333,0.2811837789967912,9018.0,9.20204081632653
Bihar,Nalanda,803107,5.75,939.0,7.0,6.44949494949495,0.17195894374656648,10967.0,11.667021276595746
Chhattisgarh,Bijapur,494447,5.5,1660.0,3.0,5.0,0.29655085017108723,6256.0,3.7664057796508126
Jharkhand,Khunti,835216,5.5,597.0,2.0,5.5,0.2665015945394431,9045.0,15.12541806020067
Uttar Pradesh,Chandauli,232101,5.5,2995.0,9.0,6.4,0.29244810765182244,12504.0,4.173564753004006
Bihar,West Champaran,845306,5.5,1475.0,4.0,8.166666666666666,0.1722814407100358,5016.0,3.3983739837398375
Uttar Pradesh,Siddharthnagar,272206,5.25,1916.0,7.0,4.138461538461538,0.1963635996446958,7340.0,3.8288993218570684
Bihar,Bhagalpur,853203,5.25,462.0,2.0,5.416666666666666,0.27209111639993994,3353.0,7.241900647948164
Bihar,Purnia,854203,5.25,912.0,6.5,8.30952380952381,0.27885332823548237,13335.0,14.605695509309967
Bihar,Madhubani,847226,5.25,2228.0,7.0,8.3125,0.2969628156660733,14362.0,6.443248093315388
Meghalaya,East Jaintia Hills,793200,5.25,3181.0,4.0,2.0,0.07493329795468744,1466.0,0.4607165304839723
Rajasthan,Jalor,343030,5.25,857.0,4.0,2.0,0.2969812720648954,4878.0,5.685314685314685
Bihar,Nawada,805103,5.0,1477.0,7.5,6.2,0.12224786852089731,6280.0,4.2489851150202975
Uttar Pradesh,Siddharthnagar,272192,5.0,1963.0,9.0,7.704545454545455,0.2212417419065923,12609.0,6.420061099796334
Uttar Pradesh,Sant Ravidas Nagar,221402,5.0,297.0,2.0,4.533333333333333,0.24989917185640867,3750.0,12.583892617449665
Bihar,Aurangabad,824208,5.0,390.0,3.0,5.320512820512821,0.16910660145954265,4158.0,10.634271099744245
Bihar,Aurangabad,824121,5.0,403.0,3.0,6.2,0.16416268367849393,4906.0,12.143564356435643
Uttar Pradesh,Siddharthnagar,272189,5.0,872.0,7.0,6.2,0.19761281552293528,8844.0,10.130584192439862
Bihar,Aurangabad,824120,5.0,595.0,3.0,4.333333333333333,0.12744841677929913,4647.0,7.796979865771812
Bihar,Arwal,804401,5.0,590.0,2.5,5.333333333333333,0.1195747476957639,3835.0,6.489001692047378
Assam,Karimganj,788734,5.0,377.0,1.5,4.5,0.2759726293114649,1283.0,3.394179894179894
Bihar,West Champaran,845450,5.0,880.0,7.0,8.25,0.18176266928842816,6459.0,7.331441543700341
Bihar,Purnia,854205,5.0,927.0,3.0,7.0,0.22188575488844933,7980.0,8.599137931034482
Bihar,Samastipur,848504,5.0,574.0,3.0,8.0,0.27608159426081963,7822.0,13.603478260869565
Bihar,Patna,803212,5.0,620.0,3.0,5.225,0.19766399162953208,6020.0,9.694041867954912
Bihar,Rohtas,821104,5.0,392.0,1.0,7.1875,0.18071818423202146,4763.0,12.119592875318066
Uttar Pradesh,Shahjahanpur,242221,5.0,3893.0,9.0,4.954545454545455,0.2847470518703169,15050.0,3.864920390344119
Bihar,Muzaffarpur,844120,5.0,434.0,3.0,7.45,0.2553753607503607,5513.0,12.673563218390804
Bihar,Muzaffarpur,847107,5.0,355.0,2.0,4.4,0.22814346444154138,4437.0,12.463483146067416
West Bengal,South 24 Parganas,700066,5.0,402.0,3.0,6.75,0.1889394203599783,1587.0,3.937965260545906
Uttar Pradesh,Sant Kabir Nagar,272125,5.0,655.0,4.0,5.166666666666667,0.26957670658830973,10950.0,16.692073170731707
Uttar Pradesh,Varanasi,221101,5.0,1571.0,5.0,4.777777777777778,0.26312841162486483,9117.0,5.799618320610687
Uttar Pradesh,Rampur,244922,5.0,2165.0,8.0,6.823529411764706,0.2963518832475026,12273.0,5.666204986149585
Uttar Pradesh,Mau,276402,5.0,343.0,2.0,3.7777777777777777,0.147528239975573,4095.0,11.904069767441861
Uttar Pradesh,Sultanpur,227805,5.0,352.0,3.0,4.285714285714286,0.2962118351293609,3809.0,10.790368271954675
Uttar Pradesh,Kanpur Dehat,209307,5.0,431.0,3.0,3.55,0.2708598967972782,2991.0,6.923611111111111
Uttar Pradesh,Ballia,277001,5.0,816.0,6.0,5.0,0.2539659639911696,10010.0,12.252141982864137
Nagaland,Mon,798621,5.0,856.0,3.0,1.6,0.22370533917069244,5172.0,6.035005834305718
Rajasthan,Dungarpur,314030,5.0,1089.0,6.5,4.477272727272727,0.2629270053028713,6963.0,6.388073394495413
Bihar,Madhubani,847234,5.0,428.0,3.0,7.0,0.29922116161195955,5968.0,13.911421911421911
Uttar Pradesh,Maharajganj,273162,5.0,1745.0,6.0,4.666666666666667,0.23854204254693015,9080.0,5.200458190148912
Uttar Pradesh,Hardoi,241123,5.0,2284.0,6.0,4.833333333333333,0.2991442810417454,10278.0,4.498030634573304
Uttar Pradesh,Kheri,262903,5.0,1625.0,6.0,5.4,0.22392838365745074,7971.0,4.902214022140221
Rajasthan,Karauli,322220,5.0,309.0,2.0,2.928571428571429,0.2642010081421846,3216.0,10.374193548387098
Uttar Pradesh,Bahraich,271903,5.0,1818.0,12.0,5.181818181818182,0.25804049880446267,12634.0,6.945574491478834
Bihar,Munger,811202,5.0,468.0,3.0,6.487012987012987,0.25838797518136436,6235.0,13.294243070362473
Madhya Pradesh,Alirajpur,457882,5.0,906.0,4.0,2.7738095238095237,0.23506820387940222,12754.0,14.061742006615216
Karnataka,Bengaluru,560035,5.0,775.0,2.5,4.0,0.21406047825305333,2318.0,2.9871134020618557
Karnataka,Bengaluru,560037,5.0,837.0,3.0,4.0,0.2332966724487004,4305.0,5.137231503579952
Bihar,Pashchim Champaran,845307,5.0,1337.0,0.0,1.0,0.10870152600091526,0.0,0.0
Bihar,Patna,801503,5.0,2033.0,6.0,8.615384615384615,0.19531820733688127,11368.0,5.588987217305801
Bihar,Lakhisarai,811310,5.0,505.0,3.0,6.0,0.21300081214869543,6755.0,13.349802371541502
Bihar,Lakhisarai,811302,5.0,1016.0,4.0,6.958333333333334,0.26515224593062503,6240.0,6.135693215339233
Meghalaya,East Khasi Hills,793110,5.0,3504.0,5.0,1.65,0.11261425431873075,1850.0,0.5278174037089871
Bihar,Madhubani,847421,5.0,1964.0,5.0,5.6,0.22219584861800262,5459.0,2.778117048346056
Gujarat,Dahod,389140,5.0,664.0,2.0,3.708333333333333,0.25959854507943625,6279.0,9.442105263157895
Bihar,Madhubani,847108,5.0,3396.0,8.0,6.764705882352941,0.21980244214140218,9179.0,2.702090079481896
